tripdurationseconds,tripdurationminutes,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
912,15,9/1/17 0:08,9/1/17 0:23,527,E 33 St & 2 Ave,40.744023,-73.976056,334,W 20 St & 7 Ave,40.74238787,-73.99726235,20948,Subscriber,1977,Male
146,2,9/1/17 0:08,9/1/17 0:10,3435,Grand St & Elizabeth St,40.718822,-73.99596,251,Mott St & Prince St,40.72317958,-73.99480012,16330,Subscriber,1991,Male
207,3,9/1/17 0:08,9/1/17 0:11,485,W 37 St & 5 Ave,40.75038009,-73.98338988,492,W 33 St & 7 Ave,40.75019995,-73.99093085,27886,Subscriber,1979,Male
424,7,9/1/17 0:08,9/1/17 0:15,466,W 25 St & 6 Ave,40.74395411,-73.99144871,297,E 15 St & 3 Ave,40.734232,-73.986923,26893,Subscriber,1978,Male
354,6,9/1/17 0:08,9/1/17 0:14,536,1 Ave & E 30 St,40.74144387,-73.97536082,325,E 19 St & 3 Ave,40.73624527,-73.98473765,21568,Subscriber,1987,Female
1539,26,9/1/17 0:08,9/1/17 0:34,276,Duane St & Greenwich St,40.71748752,-74.0104554,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,16030,Customer,1992,Male
474,8,9/1/17 0:08,9/1/17 0:16,536,1 Ave & E 30 St,40.74144387,-73.97536082,498,Broadway & W 32 St,40.74854862,-73.98808416,27789,Subscriber,1962,Male
590,10,9/1/17 0:09,9/1/17 0:19,268,Howard St & Centre St,40.71910537,-73.99973337,417,Barclay St & Church St,40.71291224,-74.01020234,26821,Subscriber,1982,Male
483,8,9/1/17 0:09,9/1/17 0:17,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,325,E 19 St & 3 Ave,40.73624527,-73.98473765,20137,Subscriber,1992,Female
1896,32,9/1/17 0:09,9/1/17 0:41,477,W 41 St & 8 Ave,40.75640548,-73.9900262,410,Suffolk St & Stanton St,40.72066442,-73.98517977,20640,Subscriber,1962,Female
